"Inn","Score","Out","RoB","Pit.cnt.","R.O","X.Bat","Batter","Pitcher","wWPA","wWE","Play.Description","Date","Result","value"
"b10","4-4","1","---","4,(3-0) IIII","","SFG","Barry Bonds","Jose Valverde","6%","64%","Intentional Walk",2004-05-27,"Walk",1
"b1","0-0","2","1--","4,(1-2) FCB11X","","SFG","Barry Bonds","Shawn Estes","2%","54%","Single to RF (Ground Ball); Grissom to 2B",2004-05-28,"Single",1
"b4","0-2","0","---","1,(0-0) X","O","SFG","Barry Bonds","Shawn Estes","-3%","28%","Groundout: 2B-1B (Short RF)",2004-05-28,"Groundout",1
"b6","0-2","0","---","4,(2-1) BBFX","","SFG","Barry Bonds","Shawn Estes","6%","32%","Single to 2B (Ground Ball to Short RF)",2004-05-28,"Single",1
"b7","0-2","2","12-","2,(0-1) .CX","O","SFG","Barry Bonds","Javier Lopez","-8%","14%","Lineout: SS (Short CF)",2004-05-28,"Lineout",1
"b9","2-2","2","1--","6,(3-2) .BFFBB>X","RR","SFG","Barry Bonds","Tim Harikkala","43%","100%","Home Run (Fly Ball); Grissom Scores",2004-05-28,"Home Run",1
"b1","0-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Jeff Fassero","1%","54%","Intentional Walk",2004-05-29,"Walk",1
"b3","1-1","1","1--","3,(0-2) CSC","O","SFG","Barry Bonds","Jeff Fassero","-3%","53%","Strikeout Looking",2004-05-29,"Strikeout",1
"b6","1-2","0","1--","1,(0-0) X","R","SFG","Barry Bonds","Jeff Fassero","21%","67%","Double to CF (Line Drive to Deep CF-RF); Alfonzo Scores",2004-05-29,"Double",1
"b7","5-2","2","---","4,(3-0) BBBB","","SFG","Barry Bonds","Vladimir Nunez","0%","93%","Walk",2004-05-29,"Walk",1
"t2","0-0","0","---","6,(1-2) FBSFFX","R","SFG","Barry Bonds","Casey Daigle","10%","60%","Home Run (Fly Ball)",2004-05-31,"Home Run",1
"t4","2-0","0","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Casey Daigle","2%","79%","Intentional Walk",2004-05-31,"Walk",1
"t5","4-1","2","123","5,(2-2) .CBCBX","O","SFG","Barry Bonds","Randy Choate","-4%","80%","Groundout: P unassisted",2004-05-31,"Groundout",1
"t8","5-2","0","---","5,(3-1) .CBBBB","","SFG","Barry Bonds","Andrew Good","1%","93%","Walk",2004-05-31,"Walk",1
