"year","Player","school","conference","1B","BB","HBP","IBB","SB","CS"
2018,"Vance, Cobie","Alabama","SEC",48,36,5,0,7,4
2019,"Auerbach, Brett","Alabama","SEC",44,28,5,0,9,3
2019,"Breaux, Joe","Alabama","SEC",37,26,9,0,7,2
2019,"Gentry, Tyler","Alabama","SEC",40,19,6,0,7,5
2019,"Holcombe, Keith","Alabama","SEC",24,16,10,0,4,0
2019,"King, Justin","Alabama","SEC",7,19,2,0,2,0
2019,"McCleney, Walker","Alabama","SEC",0,2,0,0,1,0
2019,"McCullough, Morgan","Alabama","SEC",45,38,2,1,6,4
2019,"Morris, Kobe","Alabama","SEC",10,8,2,0,1,0
2019,"Ras, Tyler","Alabama","SEC",8,2,1,0,1,1
2019,"Reeves, T.J.","Alabama","SEC",22,30,5,0,9,2
2019,"Robinson, Kolby","Alabama","SEC",46,22,9,0,7,3
2019,"Trousdale, John","Alabama","SEC",13,15,0,0,2,0
2019,"Williamson, Drew","Alabama","SEC",40,40,2,1,4,1
2013,"Black, Bradley","Alabama A&M","SWAC",32,16,10,1,9,3
