year,division,Player,Jersey,school,conference,Yr,Pos,GP,App,GS,ERA,IP,H.A,R.A,ER,BB.A,SO,SHO,BF,P.OAB,2B.A,3B.A,Bk,HR.A,WP,HB,IBB.A,IR,IRS,SHA,SFA,GO,FO,W,L,SV,KL,teamid,player_id,player_url,SO_PCT,BB_PCT,SO_BB_Ratio,BAA,OBPA,SLGA,OPSA,conference_id
2017,1,"Harte, Degan",26,Grand Canyon,WAC,Jr,P,17,17,5,8.44,42.2,53,45,40,21,31,0,210,169,10,2,0,4,6,15,0,7,4,2,3,40,47,1,7,0,7,1104,1870006,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1870006,0.148,0.1,1.476,0.314,0.428,0.467,0.895,923
2017,1,"Johnson, Nick",31,Rhode Island,Atlantic 10,Jr,P,16,16,10,4.31,62.2,65,41,30,25,61,0,281,242,14,2,2,4,2,9,0,2,1,3,2,53,63,3,3,1,22,572,1661643,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1661643,0.217,0.089,2.44,0.269,0.356,0.393,0.749,820
2014,1,"McClain, Connor",17,Central Ark.,Southland,Jr,P,16,16,5,4.65,50.1,52,33,26,19,41,0,225,198,17,0,0,2,6,3,1,4,1,3,2,33,73,4,2,4,12,1004,1323163,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1323163,0.182,0.084,2.158,0.263,0.333,0.379,0.712,914
2017,1,"Chandler, Brandon",13,Bluefield St.,Independent,Fr,P,17,12,4,8.67,27,39,32,26,19,17,0,140,118,6,4,0,1,5,1,1,3,3,2,0,29,29,1,3,1,5,985,1889257,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1889257,0.121,0.136,0.895,0.331,0.428,0.475,0.903,0
2013,1,"Borlik, Patrick",29,Western Mich.,MAC,Jr,P,16,16,8,4.17,54,61,31,25,27,30,0,247,208,11,0,1,1,3,6,0,6,3,4,2,59,59,2,4,1,11,774,1220461,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1220461,0.121,0.109,1.111,0.293,0.387,0.361,0.748,875
2018,1,"Dye, Nic",21,Tennessee Tech,OVC,So,P,10,10,8,4.95,36.1,40,21,20,15,27,0,164,144,9,1,0,4,4,3,0,0,0,1,1,35,42,4,1,0,6,692,1887132,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1887132,0.165,0.091,1.8,0.278,0.356,0.438,0.794,902
2015,1,"Akin, Keegan",9,Western Mich.,MAC,So,P,16,16,16,4.33,81,86,44,39,27,75,1,351,309,13,0,1,5,2,3,1,0,0,10,2,68,88,4,5,0,23,774,1547623,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1547623,0.214,0.077,2.778,0.278,0.34,0.369,0.709,875
2014,1,"Black, J.P.",3,UMES,MEAC,So,P,8,8,7,5.23,31,37,33,18,21,13,0,161,130,5,2,2,2,6,9,1,2,0,0,1,28,42,1,5,0,4,393,1419997,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1419997,0.081,0.13,0.619,0.285,0.416,0.4,0.816,876
2017,1,"Gaddis, Hunter",22,Georgia St.,Sun Belt,Fr,P,15,15,11,3.72,75,63,40,31,19,67,0,321,277,13,0,2,6,4,16,0,5,5,5,3,75,74,4,4,0,17,254,1881668,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1881668,0.209,0.059,3.526,0.227,0.311,0.339,0.65,818
2017,1,"Gomez, Rio",29,Arizona,Pac-12,Jr,P,22,20,11,4.82,52.1,64,35,28,15,42,0,239,218,13,2,1,4,4,1,2,7,2,3,2,51,60,5,6,0,16,29,1654523,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1654523,0.176,0.063,2.8,0.294,0.339,0.427,0.766,905
2016,1,"Stricker, Kyle",42,Towson,CAA,Jr,P,18,18,0,3.86,42,40,18,18,16,27,0,185,156,8,0,1,2,2,6,2,20,10,5,2,44,49,6,2,1,6,711,1767569,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1767569,0.146,0.086,1.688,0.256,0.344,0.346,0.69,837
2016,1,"King, Mike",34,Boston College,ACC,Jr,P,17,17,16,3.29,104,110,43,38,31,64,0,447,396,19,1,0,5,6,12,0,2,0,5,3,127,97,8,4,0,21,67,1530059,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1530059,0.143,0.069,2.065,0.278,0.346,0.369,0.715,821
2014,1,"Cummings, Kyano",16,Siena,MAAC,So,P,24,24,0,5.32,44,43,28,26,23,32,0,195,162,10,1,1,1,9,6,1,30,11,2,2,48,40,2,1,1,7,639,1424517,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1424517,0.164,0.118,1.391,0.265,0.373,0.358,0.731,871
2019,1,"DeVito, Rick",36,Seton Hall,Big East,Jr,P,13,12,12,3.92,64.1,73,31,28,31,68,0,299,249,14,4,0,0,8,10,0,0,0,6,3,74,39,2,5,0,12,635,1863664,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1863664,0.227,0.104,2.194,0.293,0.389,0.382,0.771,30184
2018,1,"Harris, Hogan",30,Louisiana,Sun Belt,Jr,P,12,12,11,2.62,58.1,52,21,17,30,54,0,255,211,8,2,0,1,4,9,0,0,0,4,1,57,49,5,2,0,17,671,1755102,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1755102,0.212,0.118,1.8,0.246,0.363,0.318,0.681,818
2013,1,"Morales, Andrew",13,UC Irvine,Big West,Jr,P,17,17,13,1.89,95.1,78,20,20,21,85,0,375,343,16,1,0,2,11,6,0,4,0,3,2,97,85,10,0,0,20,109,1417841,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1417841,0.227,0.056,4.048,0.227,0.282,0.297,0.579,904
2019,1,"Stuart, T.J.",26,Manhattan,MAAC,Jr,P,16,16,12,4.08,86,76,46,39,40,86,1,376,327,19,6,1,5,4,2,0,5,2,4,3,67,97,8,5,1,21,381,1866324,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1866324,0.229,0.106,2.15,0.232,0.317,0.373,0.69,871
2019,1,"Gruller, Kyle",18,Houston Baptist,Southland,Jr,P,13,12,12,2.3,74.1,56,24,19,39,85,0,321,266,11,1,0,5,12,11,0,0,0,3,2,49,75,3,3,0,17,287,2122599,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2122599,0.265,0.121,2.179,0.211,0.333,0.316,0.649,914
2019,1,"Dalton, Tanner",29,Sacramento St.,WAC,Sr,P,29,29,3,2.14,59,36,17,14,19,67,0,241,205,10,1,1,2,3,9,5,6,2,7,1,55,49,5,2,6,5,102,1980796,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1980796,0.278,0.079,3.526,0.176,0.274,0.263,0.537,923
2018,1,"Hornich, Matt",44,Delaware,CAA,Sr,P,19,19,5,6.64,42,50,34,31,13,34,0,189,171,6,4,0,8,2,1,1,7,5,0,3,29,59,2,3,1,9,180,1639484,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1639484,0.18,0.069,2.615,0.292,0.34,0.515,0.855,837
2014,1,"Clayton, Porter",31,Oregon,Pac-12,So,P,20,20,5,4.46,36.1,27,22,18,26,25,0,161,122,6,0,0,2,0,5,0,13,3,5,3,41,36,2,1,1,9,529,1546145,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1546145,0.155,0.161,0.962,0.221,0.372,0.32,0.692,905
2014,1,"Stadler, Sullivan",24,Indiana,Big Ten,So,P,13,13,6,2.7,26.2,19,10,8,12,18,0,113,98,3,1,0,1,0,2,0,4,0,0,1,27,31,2,1,0,7,306,1448111,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1448111,0.159,0.106,1.5,0.194,0.292,0.276,0.568,827
2018,1,"Kristofak, Zac",12,Georgia,SEC,So,P,31,31,0,3.83,42.1,38,26,18,22,58,0,191,160,7,0,0,4,4,5,1,33,8,1,3,41,23,4,2,4,15,257,1870268,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1870268,0.304,0.115,2.636,0.238,0.342,0.356,0.698,911
2018,1,"Hinton, Kyle",24,Delaware,CAA,Jr,P,16,16,15,2.78,90.2,73,44,28,41,94,1,385,332,14,1,1,6,10,8,3,0,0,1,3,71,89,6,7,0,20,180,1751532,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1751532,0.244,0.106,2.293,0.22,0.318,0.322,0.64,837
2014,1,"Keith, Kaleb",21,A&M-Corpus Christi,Southland,So,P,27,27,1,5.13,40.1,51,34,23,10,32,0,183,167,4,2,0,2,4,1,0,19,8,4,1,40,40,3,4,2,8,26172,1438826,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1438826,0.175,0.055,3.2,0.305,0.346,0.389,0.735,914
2014,1,"Sims, Cameron",24,Florida A&M,MEAC,So,P,19,19,0,5.34,30.1,28,22,18,8,15,0,134,105,5,2,0,1,1,9,0,18,6,5,6,37,33,3,0,1,2,228,1437279,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1437279,0.112,0.06,1.875,0.267,0.352,0.381,0.733,876
2018,1,"Bocchi, Matteo",33,Texas,Big 12,Jr,P,21,21,4,3.05,38.1,34,14,13,21,34,0,166,137,6,1,2,3,2,3,0,6,4,4,1,37,36,4,1,1,14,703,1996922,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1996922,0.205,0.127,1.619,0.248,0.358,0.372,0.73,25354
2013,1,"Kaufman, Taylor",43,Iowa,Big Ten,So,OF,45,16,2,2.52,53.2,52,19,15,16,34,0,232,205,10,0,0,0,1,3,3,8,2,8,0,49,72,3,3,3,15,312,1310156,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1310156,0.147,0.069,2.125,0.254,0.317,0.302,0.619,827
2016,1,"Kemp, Kyle",17,Lipscomb,ASUN,Fr,P,16,16,5,5.35,38.2,38,29,23,21,26,0,189,150,9,0,0,3,4,13,2,4,0,2,3,39,48,3,3,0,6,28600,1649656,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1649656,0.138,0.111,1.238,0.253,0.385,0.373,0.758,920
2017,1,"Mercer, Matt",11,Oregon,Pac-12,So,P,16,15,15,3.16,88.1,79,39,31,30,59,0,366,328,13,1,0,4,4,2,1,0,0,5,1,81,109,6,7,0,20,529,1753454,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1753454,0.161,0.082,1.967,0.241,0.307,0.323,0.63,905
2014,1,"Leitao, Brennan",21,Sacramento St.,WAC,Jr,P,19,19,18,2.15,117,103,31,28,23,79,0,479,442,22,0,2,3,9,10,1,0,0,4,0,133,120,9,4,0,24,102,1315636,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1315636,0.165,0.048,3.435,0.233,0.286,0.303,0.589,923
2018,1,"Beatson, Jordan",29,Furman,SoCon,Fr,P,21,21,2,6.45,44.2,46,34,32,20,30,0,201,167,5,1,1,13,4,7,2,7,2,5,2,44,54,2,2,1,9,244,1995240,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1995240,0.149,0.1,1.5,0.275,0.372,0.551,0.923,912
2018,1,"Saunders, Elijah",21,Grambling,SWAC,Sr,P,11,11,6,9,28,40,32,28,22,12,0,150,114,8,1,0,5,7,9,0,2,0,4,1,30,35,0,3,0,4,261,1872298,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1872298,0.08,0.147,0.545,0.351,0.486,0.57,1.056,916
2014,1,"Harris, Josh",30,Villanova,Big East,Jr,P,18,15,14,6.45,74,98,57,53,31,52,0,357,297,21,3,1,7,11,11,2,0,0,15,3,78,81,4,7,0,11,739,1322625,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1322625,0.146,0.087,1.677,0.33,0.409,0.492,0.901,30184
2017,1,"Ray, Jackson",27,La Salle,Atlantic 10,Fr,P,20,20,0,6.64,39.1,47,35,29,10,32,0,183,161,10,2,2,7,7,5,0,20,11,5,1,42,43,0,2,0,8,340,1884284,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884284,0.175,0.055,3.2,0.292,0.35,0.509,0.859,820
2013,1,"Strong, Josh",35,Winthrop,Big South,So,P,19,19,0,2.17,29,22,9,7,9,20,0,117,101,1,0,1,2,0,2,0,24,6,4,1,22,41,2,1,0,6,792,1306456,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1306456,0.171,0.077,2.222,0.218,0.292,0.287,0.579,826
2017,1,"Barnes, Charlie",23,Clemson,ACC,Jr,P,16,16,16,3.2,101.1,98,44,36,22,113,0,416,376,16,2,0,7,3,9,0,0,0,7,2,100,69,5,5,0,27,147,1654482,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1654482,0.272,0.053,5.136,0.261,0.315,0.37,0.685,821
2017,1,"Crawford, Jake",7,Furman,SoCon,So,3B,59,18,4,6.33,27,34,22,19,10,17,0,125,112,6,0,0,8,1,1,0,11,3,1,1,23,38,1,4,4,6,244,1774250,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1774250,0.136,0.08,1.7,0.304,0.363,0.571,0.934,912
2018,1,"Martin, Reeves",1,New Orleans,Southland,So,P,28,28,4,3.59,47.2,45,20,19,15,55,0,209,178,13,1,1,3,4,8,0,9,2,5,3,46,35,2,4,9,16,474,1879527,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1879527,0.263,0.072,3.667,0.253,0.333,0.388,0.721,914
2016,1,"Yarabinec, Kevin",34,Youngstown St.,Horizon,Jr,P,24,24,0,4.15,39,43,20,18,15,23,0,174,153,8,2,0,0,7,3,2,9,3,2,1,54,30,5,2,3,12,817,1528665,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1528665,0.132,0.086,1.533,0.281,0.355,0.359,0.714,881
2019,1,"Goldsberry, Blake",36,Kansas,Big 12,Jr,P,31,31,0,3.5,43.2,44,18,17,16,33,0,189,167,5,0,0,3,2,0,2,12,6,6,0,34,59,6,6,3,10,328,1768701,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1768701,0.175,0.085,2.062,0.263,0.328,0.347,0.675,25354
2017,1,"Glaze, Grant",16,Oral Roberts,Summit League,Sr,P,28,27,1,3.26,47,36,18,17,22,50,0,199,174,6,2,1,3,6,3,1,11,3,0,0,47,36,3,0,1,23,527,1769262,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769262,0.251,0.111,2.273,0.207,0.307,0.316,0.623,819
2016,1,"Bowden, Ben",35,Vanderbilt,SEC,Jr,P,26,24,5,3.51,48.2,48,23,19,14,65,0,207,181,11,0,0,3,1,2,0,8,2,7,3,32,40,2,1,10,21,736,1527829,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1527829,0.314,0.068,4.643,0.265,0.32,0.376,0.696,911
2016,1,"Franklin, Daniel",17,Southern U.,SWAC,So,P,12,12,11,4.19,68.2,64,39,32,33,49,0,307,258,15,2,4,3,7,7,0,2,2,3,5,61,83,4,3,0,17,665,1666181,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1666181,0.16,0.107,1.485,0.248,0.343,0.357,0.7,916
2019,1,"McLemore, Peyton",30,McNeese,Southland,Sr,P,27,27,3,3.88,51,46,22,22,20,50,0,222,190,6,2,1,5,6,3,1,17,7,6,3,44,59,1,2,1,19,402,1870208,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1870208,0.225,0.09,2.5,0.242,0.319,0.374,0.693,914
2018,1,"Baird, Michael",31,Southern Ill.,MVC,Sr,P,15,15,15,3.16,99.2,95,47,35,20,92,1,416,380,23,1,0,9,7,5,0,0,0,8,3,100,91,5,5,0,13,659,1659885,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1659885,0.221,0.048,4.6,0.25,0.294,0.387,0.681,884
2019,1,"Dabovich, RJ",11,Arizona St.,Pac-12,So,P,16,16,9,4.75,53,55,33,28,26,47,0,245,212,11,1,2,6,4,5,1,6,4,1,1,57,51,7,1,3,13,28,2136944,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2136944,0.192,0.106,1.808,0.259,0.352,0.406,0.758,905
2018,1,"Gonzalez, Joey",5,Stetson,ASUN,Jr,P,15,15,11,2.07,78.1,60,21,18,32,79,0,333,292,4,0,0,3,5,6,0,4,2,3,0,61,86,8,3,1,26,678,1751674,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1751674,0.237,0.096,2.469,0.205,0.297,0.25,0.547,920
2018,1,"Sanderson, Blake",28,Fla. Atlantic,C-USA,Jr,P,24,21,4,4.91,47.2,57,32,26,17,47,0,221,197,7,0,0,6,2,5,1,8,1,1,1,29,64,1,2,1,18,229,1654269,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1654269,0.213,0.077,2.765,0.289,0.359,0.416,0.775,24312
2016,1,"Ernestine, Alex",35,Nicholls St.,Southland,So,P,13,13,9,7.58,46.1,51,39,39,18,32,0,211,184,9,2,0,4,4,3,0,7,1,2,4,37,67,3,5,1,6,483,1659094,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1659094,0.152,0.085,1.778,0.277,0.344,0.413,0.757,914
2016,1,"Delaplane, Sam",38,Eastern Mich.,MAC,Jr,P,24,24,3,4.5,50,54,31,25,28,49,0,240,198,8,2,0,4,5,7,1,15,8,3,3,43,53,6,3,3,13,204,1532767,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1532767,0.204,0.117,1.75,0.273,0.377,0.394,0.771,875
2018,1,"Tyler, Cody",39,Wichita St.,AAC,Sr,P,23,22,0,4.4,30.2,31,16,15,6,38,0,128,119,3,2,0,2,2,1,1,5,2,1,1,23,29,4,1,1,9,782,1528218,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1528218,0.297,0.047,6.333,0.261,0.299,0.37,0.669,823
2014,1,"Spann, Steven",27,Northwestern St.,Southland,Sr,P,23,23,6,4.27,59,46,30,28,33,40,0,262,205,14,0,1,3,9,14,3,15,6,6,4,77,47,8,6,3,12,508,1416117,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1416117,0.153,0.126,1.212,0.224,0.363,0.337,0.7,914
2015,1,"Jackson, Cody",12,Arkansas St.,Sun Belt,Jr,P,19,19,0,6.49,34.2,41,25,25,18,15,0,160,133,5,1,0,1,3,4,0,12,2,4,1,46,35,4,0,0,3,30,1651094,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1651094,0.094,0.112,0.833,0.308,0.404,0.383,0.787,818
2014,1,"Kehner, Brian",39,Presbyterian,Big South,Fr,P,15,15,8,7.87,42.1,67,51,37,17,28,0,216,185,11,3,3,7,2,6,0,5,3,2,5,37,53,0,6,0,9,1320,1534013,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1534013,0.13,0.079,1.647,0.362,0.423,0.568,0.991,826
2018,1,"Calderon, Alexis",19,Manhattan,MAAC,So,P,19,19,0,5.12,31.2,26,23,18,20,32,0,145,114,8,1,1,4,3,6,1,20,6,2,3,20,35,1,1,0,9,381,1866321,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1866321,0.221,0.138,1.6,0.228,0.364,0.421,0.785,871
2018,1,"Gutierrez, Robert",19,Chicago St.,WAC,Sr,P,28,28,0,6.02,55.1,59,53,37,32,46,0,280,226,8,4,2,4,10,17,1,17,5,1,3,52,59,4,3,0,15,136,1879930,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1879930,0.164,0.114,1.438,0.261,0.388,0.385,0.773,923
2015,1,"Summerville, Andrew",17,Stanford,Pac-12,Fr,P,19,15,6,3.38,32,25,15,12,19,33,0,137,113,3,1,0,2,2,0,0,9,3,4,1,25,34,4,1,0,13,674,1644108,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1644108,0.241,0.139,1.737,0.221,0.331,0.319,0.65,905
2017,1,"Cousins, Jake",14,Penn,Ivy League,Sr,P,11,11,11,3.15,68.2,72,27,24,21,59,1,294,258,14,1,1,4,4,9,0,0,0,3,3,72,57,7,2,0,19,540,1547549,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547549,0.201,0.071,2.81,0.279,0.351,0.388,0.739,865
2013,1,"Curry, Parker",2,Samford,SoCon,Fr,P,20,20,1,6.53,30.1,42,24,22,12,20,0,148,130,8,0,1,2,6,3,0,16,7,1,2,32,36,1,2,0,7,625,1437557,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1437557,0.135,0.081,1.667,0.323,0.388,0.431,0.819,912
2014,1,"Currao, Brad",35,Wagner,NEC,Fr,P,11,11,4,5.28,29,37,23,17,13,17,0,138,118,6,1,0,3,1,4,0,2,1,2,1,28,33,0,3,0,6,748,1525987,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1525987,0.123,0.094,1.308,0.314,0.397,0.458,0.855,846
2013,1,"Perez, Austin",42,Stetson,ASUN,Jr,P,15,15,13,2.81,89.2,89,32,28,26,66,0,375,338,13,1,0,2,4,3,0,3,0,6,2,76,107,7,2,0,17,678,1198117,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1198117,0.176,0.069,2.538,0.263,0.32,0.325,0.645,920
2013,1,"Kmiec, Sam",45,Winthrop,Big South,Fr,P,21,21,12,3.56,78.1,79,40,31,5,57,0,320,298,15,1,0,1,5,6,0,15,7,6,5,88,76,3,7,1,12,792,1440352,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1440352,0.178,0.016,11.4,0.265,0.287,0.332,0.619,826
2017,1,"LaSorsa, Joe",44,St. John's (NY),Big East,Fr,P,21,21,0,2.34,50,42,18,13,14,39,0,210,188,5,0,0,3,1,2,0,21,8,4,2,60,43,7,1,1,11,603,1866294,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1866294,0.186,0.067,2.786,0.223,0.282,0.298,0.58,30184
2015,1,"Ryan, Joe",6,CSUN,Big West,Fr,P,13,13,4,1.48,30.1,14,7,5,8,32,0,115,103,2,1,0,3,1,1,0,2,0,2,1,18,38,3,0,1,7,101,1671298,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1671298,0.278,0.07,4,0.136,0.204,0.262,0.466,904
2019,1,"Smith, Braxton",24,Louisiana Tech,C-USA,Sr,P,27,27,0,2.66,40.2,34,19,12,18,56,0,178,156,7,0,0,5,9,1,1,24,6,3,0,42,21,1,4,10,9,366,1996098,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1996098,0.315,0.101,3.111,0.218,0.303,0.359,0.662,24312
2015,1,"Ingle, Joe",36,East Carolina,AAC,Fr,P,32,32,0,1.14,31.2,17,5,4,23,41,0,135,105,1,0,1,0,5,6,1,45,15,0,1,18,29,1,0,8,5,196,1644353,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1644353,0.304,0.17,1.783,0.162,0.341,0.171,0.512,823
2015,1,"Pall, Bryan",6,Michigan,Big Ten,Fr,P,23,23,0,2.97,33.1,26,12,11,10,31,0,135,120,4,1,0,4,5,2,0,21,5,3,0,29,36,2,0,3,11,418,1643005,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1643005,0.23,0.074,3.1,0.217,0.288,0.367,0.655,827
2015,1,"Geist, Evan",37,Ohio,MAC,Sr,P,16,15,10,6.27,37.1,28,30,26,38,39,0,183,133,4,1,0,2,10,4,0,2,1,3,5,37,32,2,2,0,12,519,1648901,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1648901,0.213,0.208,1.026,0.211,0.389,0.301,0.69,875
2019,1,"Killam, Brent",6,Georgetown,Big East,Jr,P,7,7,7,4.41,34.2,26,27,17,22,47,0,159,130,6,0,0,1,7,4,0,0,0,2,1,30,24,1,5,0,20,251,1868247,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1868247,0.296,0.138,2.136,0.2,0.331,0.269,0.6,30184
2014,1,"Harron, Ray",18,Richmond,Atlantic 10,Jr,P,26,25,0,3.76,38.1,38,20,16,8,31,0,167,141,12,0,1,1,2,11,1,27,8,6,1,44,32,4,2,4,10,575,1315221,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1315221,0.186,0.048,3.875,0.27,0.354,0.376,0.73,820
2018,1,"King, Kyle",36,CSU Bakersfield,WAC,Jr,P,23,23,2,6,36,39,33,24,29,44,0,181,144,6,1,1,7,11,4,0,25,10,2,2,22,38,1,4,3,13,94,1992156,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1992156,0.243,0.16,1.517,0.271,0.402,0.472,0.874,923
2019,1,"Wereski, Ben",22,Columbia,Ivy League,Jr,P,10,10,10,4.18,51.2,48,25,24,33,53,0,237,197,11,3,1,2,6,2,0,0,0,3,2,37,61,4,3,0,12,158,1872554,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1872554,0.224,0.139,1.606,0.244,0.355,0.36,0.715,865
2016,1,"Smith, Chad",3,Ole Miss,SEC,Jr,P,15,15,12,4.22,59.2,64,33,28,39,62,0,286,237,8,0,2,2,9,6,0,4,1,3,1,61,46,4,4,0,15,433,1752120,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1752120,0.217,0.136,1.59,0.27,0.385,0.329,0.714,911
2017,1,"Patterson, Trae",21,UT Arlington,Sun Belt,Jr,P,16,16,15,2.75,98.1,90,41,30,22,73,0,418,374,19,0,1,4,5,11,2,0,0,8,3,127,79,7,4,0,16,702,1879884,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1879884,0.175,0.053,3.318,0.241,0.3,0.324,0.624,818
2018,1,"Lunn, Connor",35,Southern California,Pac-12,So,P,22,22,0,2.97,30.1,26,11,10,9,32,0,128,116,3,1,0,2,2,1,3,6,1,2,0,25,34,2,2,8,7,657,1868706,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1868706,0.25,0.07,3.556,0.224,0.286,0.319,0.605,905
2018,1,"Bradish, Kyle",38,New Mexico St.,WAC,Jr,P,17,17,17,2.67,101,72,43,30,55,140,0,423,359,10,2,1,3,19,4,0,0,0,2,3,77,71,9,3,0,37,472,1773328,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1773328,0.331,0.13,2.545,0.201,0.311,0.265,0.576,923
