"year","BA","OBP","SLG","school","K%","BB%","ISO","OPS","tourn_appearance","cws_appearance","cws_final","cws_champ","RC.PA","K-BB%","ERA","SO_PCT","BB_PCT","SO_BB_Ratio","FIP","BAA","OBPA","SLGA","OPSA","GO.O","FO.O","XB.PA","HR.PA","RBI.PA","SF.PA","SH.PA","DP.PA","R.PA","RA.BF","XBA.BF","HRA.BF","KL.BF"
2017,0.322,0.403,0.501,"New Mexico St.",0.164,0.095,0.179,0.904,0,0,0,0,0.17,0.069,4.71,0.196,0.105,1.873,4.11,0.265,0.352,0.379,0.731,0.359,0.302,0.089,0.025,0.173,0.013,0.016,0.026,0.19,0.139,0.06,0.016,0.061
2018,0.254,0.344,0.365,"Sacred Heart",0.201,0.107,0.111,0.709,0,0,0,0,0.107,0.094,6.44,0.162,0.106,1.533,4.41,0.313,0.409,0.475,0.884,0.297,0.378,0.057,0.017,0.12,0.01,0.01,0.019,0.134,0.171,0.086,0.018,0.05
2017,0.293,0.371,0.46,"Oral Roberts",0.189,0.093,0.167,0.831,1,0,0,0,0.146,0.096,3.06,0.225,0.097,2.32,3.93,0.247,0.33,0.336,0.666,0.304,0.317,0.081,0.029,0.161,0.012,0.014,0.016,0.167,0.09,0.049,0.013,0.07
2014,0.237,0.324,0.301,"Valparaiso",0.152,0.089,0.064,0.625,0,0,0,0,0.083,0.063,3.88,0.136,0.072,1.898,3.98,0.278,0.346,0.353,0.699,0.363,0.37,0.039,0.007,0.093,0.007,0.022,0.016,0.111,0.122,0.048,0.006,0.041
2015,0.275,0.348,0.369,"Bowling Green",0.15,0.084,0.094,0.717,0,0,0,0,0.11,0.066,4.45,0.125,0.079,1.582,4.22,0.269,0.343,0.375,0.718,0.374,0.38,0.052,0.012,0.125,0.011,0.028,0.022,0.147,0.139,0.059,0.014,0.042
2018,0.286,0.373,0.406,"Navy",0.134,0.105,0.12,0.779,0,0,0,0,0.127,0.029,3.1,0.205,0.082,2.488,3.86,0.242,0.318,0.314,0.632,0.353,0.315,0.076,0.007,0.133,0.011,0.014,0.021,0.149,0.096,0.045,0.008,0.067
2016,0.265,0.346,0.364,"Sacred Heart",0.178,0.094,0.099,0.71,0,0,0,0,0.108,0.084,4.41,0.134,0.098,1.372,4.24,0.282,0.374,0.373,0.747,0.357,0.354,0.056,0.011,0.117,0.014,0.014,0.014,0.131,0.13,0.052,0.011,0.035
2014,0.276,0.367,0.389,"Bradley",0.16,0.09,0.113,0.756,0,0,0,0,0.115,0.07,4.28,0.174,0.093,1.865,4.11,0.259,0.353,0.356,0.709,0.326,0.357,0.065,0.012,0.122,0.012,0.02,0.015,0.132,0.135,0.056,0.011,0.067
2018,0.284,0.366,0.433,"UTSA",0.185,0.089,0.149,0.799,0,0,0,0,0.133,0.096,3.54,0.216,0.097,2.215,4.03,0.236,0.329,0.338,0.667,0.322,0.312,0.078,0.021,0.141,0.011,0.007,0.025,0.156,0.116,0.054,0.015,0.048
2019,0.28,0.372,0.402,"Ga. Southern",0.172,0.098,0.122,0.774,0,0,0,0,0.124,0.074,4.47,0.221,0.089,2.493,4.07,0.267,0.344,0.402,0.746,0.3,0.324,0.063,0.019,0.138,0.009,0.015,0.023,0.161,0.135,0.072,0.02,0.069
2014,0.247,0.351,0.327,"UTRGV",0.168,0.109,0.08,0.678,0,0,0,0,0.091,0.059,3.84,0.128,0.096,1.329,4.13,0.255,0.347,0.329,0.676,0.37,0.386,0.046,0.007,0.103,0.009,0.019,0.019,0.116,0.121,0.047,0.005,0.037
2018,0.283,0.38,0.407,"Ohio St.",0.179,0.119,0.124,0.787,1,0,0,0,0.128,0.06,4.61,0.185,0.089,2.073,4.07,0.281,0.367,0.397,0.764,0.337,0.316,0.065,0.017,0.14,0.01,0.015,0.023,0.155,0.139,0.066,0.012,0.052
